Academic Pressure,Social Life,Sleep Hours,Physical Activity,Diet,Screen Time,Mental Health Issues
High,Good,6,Yes,Good,4,Good
Low,Average,4,Yes,Good,8,Good
High,Good,4,Yes,Poor,6,Good
High,Average,9,Yes,Average,10,Good
Low,Average,9,Yes,Poor,7,Good
Low,Poor,8,Yes,Good,8,No
High,Average,5,No,Good,2,No
Moderate,Poor,3,Yes,Good,10,No
High,Good,4,Yes,Good,11,No
High,Good,9,No,Good,8,No
High,Good,8,No,Good,3,Good
High,Good,7,No,Good,7,Good
Low,Poor,8,Yes,Average,3,No
High,Good,4,No,Poor,7,Good
Moderate,Average,4,Yes,Good,11,No
Low,Average,8,Yes,Average,2,No
Moderate,Average,3,Yes,Average,10,Good
Moderate,Poor,6,Yes,Poor,6,Good
Moderate,Good,4,No,Good,3,Good
Moderate,Good,8,No,Poor,3,No
Low,Good,9,Yes,Good,9,Good
Low,Poor,8,Yes,Average,7,No
Moderate,Average,5,Yes,Average,5,No
Moderate,Average,6,No,Average,10,No
Low,Good,7,Yes,Average,7,Good
Low,Average,3,Yes,Poor,9,Good
Low,Average,7,No,Good,1,No
High,Poor,6,No,Good,7,Good
High,Poor,6,Yes,Poor,6,Good
High,Poor,6,No,Good,10,Good
Moderate,Poor,7,No,Average,9,No
High,Good,9,Yes,Good,1,No
Moderate,Poor,6,No,Average,4,Good
Moderate,Average,8,Yes,Poor,9,No
High,Good,7,No,Good,4,Good
Moderate,Average,6,Yes,Poor,10,Good
High,Average,8,Yes,Good,3,Good
High,Average,9,Yes,Average,9,Good
Low,Poor,5,No,Poor,2,No
High,Poor,9,Yes,Good,4,No
Low,Good,6,No,Average,6,No
High,Good,7,Yes,Poor,2,Good
High,Poor,4,Yes,Poor,8,Good
Low,Average,6,No,Good,8,Good
Low,Good,4,Yes,Good,1,No
High,Poor,8,Yes,Good,3,Good
Moderate,Poor,5,No,Average,10,No
Low,Poor,3,Yes,Good,9,No
Moderate,Average,9,Yes,Poor,5,No
Moderate,Poor,5,Yes,Poor,6,No
Moderate,Poor,6,Yes,Good,4,No
Low,Poor,4,No,Good,10,No
Moderate,Poor,9,No,Poor,2,Good
Low,Good,4,Yes,Average,11,Good
Moderate,Good,7,No,Good,8,No
High,Poor,4,Yes,Good,11,No
High,Average,7,No,Poor,6,Good
Low,Good,8,Yes,Good,5,No
High,Poor,9,Yes,Average,9,No
High,Good,9,Yes,Poor,1,Good
Moderate,Good,3,Yes,Good,5,No
Low,Average,6,Yes,Poor,6,No
Moderate,Poor,7,Yes,Good,5,No
Moderate,Poor,3,No,Good,6,Good
Moderate,Average,4,Yes,Good,6,Good
Moderate,Average,4,No,Average,7,Good
Moderate,Poor,3,Yes,Average,4,No
Moderate,Poor,9,No,Poor,11,No
Moderate,Average,4,No,Good,8,Good
Low,Good,8,No,Good,7,No
High,Good,8,Yes,Average,9,No
Moderate,Average,3,Yes,Good,7,No
Moderate,Good,7,No,Average,3,No
Moderate,Average,7,Yes,Good,3,No
Moderate,Good,3,No,Poor,8,Good
Moderate,Good,7,Yes,Good,5,No
Moderate,Poor,9,No,Good,4,Good
High,Poor,9,No,Average,8,No
High,Good,7,Yes,Good,6,Good
Moderate,Good,8,No,Good,2,No
High,Poor,7,Yes,Average,4,Good
Low,Poor,9,No,Poor,11,No
Moderate,Poor,5,No,Poor,4,Good
Low,Average,6,Yes,Average,6,No
Low,Good,4,Yes,Average,6,Good
Moderate,Poor,5,Yes,Average,1,No
High,Good,7,No,Average,8,Good
Low,Average,8,Yes,Average,6,Good
Moderate,Average,3,No,Poor,3,No
Low,Poor,7,No,Poor,9,No
Low,Average,8,Yes,Average,2,Good
Low,Good,6,Yes,Good,11,No
Low,Poor,7,No,Average,8,Good
High,Good,9,No,Good,10,Good
Low,Good,3,Yes,Average,3,Good
Low,Average,8,Yes,Average,5,No
Low,Average,8,Yes,Poor,6,Good
High,Average,8,Yes,Good,10,Good
Low,Average,6,Yes,Good,6,No
Low,Average,7,No,Poor,4,No
High,Poor,6,No,Poor,3,No
High,Good,4,No,Poor,4,No
High,Good,4,No,Poor,1,Good
Low,Good,7,Yes,Good,4,Good
High,Good,9,Yes,Good,1,Good
High,Average,6,Yes,Average,1,Good
Low,Good,3,No,Average,10,No
High,Poor,8,No,Poor,6,Good
Low,Poor,8,Yes,Poor,5,Good
Moderate,Good,7,Yes,Poor,11,No
High,Good,9,No,Average,4,Good
Moderate,Poor,4,No,Average,11,Good
Low,Poor,4,Yes,Average,3,Good
High,Average,8,Yes,Average,1,Good
Low,Poor,7,No,Average,6,Good
Moderate,Average,6,Yes,Average,2,Good
Low,Average,4,Yes,Average,8,No
High,Average,6,Yes,Poor,10,No
High,Average,9,No,Poor,5,Good
Moderate,Average,4,No,Poor,7,Good
Low,Good,4,No,Poor,10,No
High,Poor,5,No,Average,2,Good
Moderate,Average,4,No,Good,8,Good
High,Poor,3,No,Average,2,Good
High,Poor,7,No,Good,4,No
Low,Average,7,Yes,Poor,1,Good
High,Good,6,Yes,Average,5,No
Low,Average,9,Yes,Poor,9,Good
High,Good,4,Yes,Average,1,No
Moderate,Poor,3,Yes,Poor,9,No
High,Good,6,Yes,Good,11,Good
Low,Good,5,Yes,Good,8,No
Low,Good,6,No,Good,6,Good
Moderate,Poor,6,No,Average,7,No
High,Poor,4,Yes,Good,3,Good
High,Good,5,Yes,Average,1,Good
Moderate,Good,6,No,Good,5,No
High,Average,3,Yes,Good,2,Good
High,Good,3,Yes,Average,5,Good
Low,Average,7,No,Average,8,No
High,Good,5,Yes,Good,11,Good
High,Average,5,No,Average,9,Good
Moderate,Poor,7,Yes,Good,2,No
Moderate,Good,6,No,Average,3,No
Low,Good,5,No,Poor,3,Good
High,Good,3,No,Poor,1,Good
High,Good,3,Yes,Poor,8,No
High,Average,4,No,Poor,6,No
Low,Good,5,Yes,Poor,8,Good
Low,Poor,6,Yes,Good,11,No
Moderate,Poor,7,Yes,Poor,9,Good
Low,Good,7,Yes,Poor,5,Good
High,Poor,6,No,Poor,3,Good
High,Good,9,No,Poor,5,Good
Low,Good,8,Yes,Average,5,Good
High,Poor,4,Yes,Good,5,No
High,Good,7,No,Poor,3,No
Low,Poor,5,Yes,Poor,11,No
Low,Average,4,No,Poor,10,No
High,Good,5,Yes,Good,4,Good
High,Average,9,Yes,Average,9,Good
High,Poor,3,No,Good,10,Good
Moderate,Average,4,Yes,Average,9,Good
Moderate,Average,7,No,Poor,2,No
Moderate,Poor,4,Yes,Poor,8,Good
Low,Average,4,Yes,Good,8,Good
Moderate,Average,4,Yes,Good,7,No
Low,Poor,8,No,Average,8,No
Low,Average,4,Yes,Average,3,No
Moderate,Poor,5,Yes,Good,6,No
Moderate,Average,3,Yes,Average,1,Good
Moderate,Poor,9,Yes,Good,7,Good
High,Poor,6,No,Average,1,No
Moderate,Average,4,No,Good,9,Good
High,Average,7,Yes,Good,1,Good
Low,Average,4,No,Good,1,Good
High,Good,7,Yes,Average,7,No
Moderate,Good,5,Yes,Average,2,Good
Low,Good,7,Yes,Average,5,No
Low,Poor,6,No,Good,8,Good
Low,Average,3,No,Average,8,Good
High,Poor,7,No,Average,3,Good
Moderate,Good,7,No,Good,7,No
Low,Average,3,No,Poor,3,Good
Low,Poor,6,No,Good,6,No
Low,Average,4,No,Average,6,No
High,Poor,7,No,Good,3,No
High,Average,3,No,Poor,7,Good
Moderate,Good,5,Yes,Good,3,Good
High,Good,3,No,Average,8,Good
Low,Average,5,No,Poor,10,Good
Moderate,Poor,6,No,Average,4,No
Low,Good,4,No,Poor,1,No
Low,Good,3,No,Poor,4,No
High,Good,9,No,Good,7,Good
Moderate,Average,9,No,Good,11,No
High,Average,8,No,Average,4,Good
High,Poor,7,No,Good,6,No
Moderate,Poor,6,No,Good,9,Good
Low,Poor,3,No,Poor,1,Good
